,Accuracy,F-measure
DS1,0.6009615385,0.2161111111
DS2,0.5305555556,0.3285107535
DS3,0.5238505747,0.2336735578
DS4,0.4841666667,0.2332558947
DS5,0.5047477477,0.2668739525
DS6,0.6130434783,0.1856367652
DS7,0.2375,0.1583333333
DS8,0.8053030303,0.05666666667
DS9,0.4531284153,0.2515894008
DS10,0.603781348,0.1529019763
DS11,0.5523356959,0.2163443362
DS12,0.655952381,inf
DS13,0.675,inf
DS14,0.3643939394,0.2981032856
DS15,0.5414166667,0.1537222865
DS16,0.5811904762,0.2130599198
DS17,0.5324074074,0.2027282856
DS18,0.3845698925,0.2076427888
DS19,0.4963709677,0.2022678633
DS20,0.4617117117,0.1785285733
DS21,0.8251428571,0.03883116883
DS22,0.4416666667,0.2083333333
DS23,0.6956043956,0.3951731602
DS24,0.5872727273,0.2479365079
DS25,0.3604761905,0.156725321
DS26,0.4361842105,0.3342569273
DS27,0.3623333333,0.3788951989
DS28,0.4264705882,0.3130945916
DS29,0.5916666667,inf
DS30,0.6833333333,inf
DS31,0.7469804052,0.1922493379
DS32,0.7877347551,0.1858389283
DS33,0.7756881325,0.1257723148
DS34,0.8548972235,0.1576480663
DS35,0.7483502563,0.1931985466
DS36,0.7560606061,0.1857141007
DS37,0.65,0.3271578422
DS38,0.7225,inf
DS39,0.525,0.1966666667
DS40,0.6,inf
DS41,0.3472916667,0.1876273726
DS42,0.5335968379,0.2908870945
DS43,0.5450769231,0.4053821607
DS44,0.6273809524,0.125
DS45,0.375,0.2
DS46,0.6875,0.48
DS47,0.6108207934,0.1823502093
DS48,0.3738095238,0.4419097666
DS49,0.5956521739,0.3581828955
DS50,0.6208333333,0.6902380952
DS51,0.525,inf
DS52,0.5806818182,0.1824728963
DS53,0.6089855072,0.1878264574
DS54,0.6013588545,0.5620314597
DS55,0.459375,0.21127442
DS56,0.5,inf